fix,active_nozzles,shut_nozzles,min_clearance_m,buffer_m,reason
0,6,,133.17,1.5,All 6 nozzles spray. Nearest nozzle is 133.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
1,6,,133.09,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
2,6,,133.01,1.5,All 6 nozzles spray. Nearest nozzle is 133.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
3,6,,133.1,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
4,6,,132.97,1.5,All 6 nozzles spray. Nearest nozzle is 133.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
5,6,,132.98,1.5,All 6 nozzles spray. Nearest nozzle is 133.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
6,6,,133.18,1.5,All 6 nozzles spray. Nearest nozzle is 133.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
7,6,,133.03,1.5,All 6 nozzles spray. Nearest nozzle is 133.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
8,6,,133.09,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
9,6,,133.1,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
10,6,,133.09,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
11,6,,133.01,1.5,All 6 nozzles spray. Nearest nozzle is 133.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
12,6,,133.09,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
13,6,,133.06,1.5,All 6 nozzles spray. Nearest nozzle is 133.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
14,6,,132.74,1.5,All 6 nozzles spray. Nearest nozzle is 132.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
15,6,,132.64,1.5,All 6 nozzles spray. Nearest nozzle is 132.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
16,6,,132.55,1.5,All 6 nozzles spray. Nearest nozzle is 132.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
17,6,,132.67,1.5,All 6 nozzles spray. Nearest nozzle is 132.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
18,6,,132.38,1.5,All 6 nozzles spray. Nearest nozzle is 132.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
19,6,,132.48,1.5,All 6 nozzles spray. Nearest nozzle is 132.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
20,6,,132.36,1.5,All 6 nozzles spray. Nearest nozzle is 132.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
21,6,,132.69,1.5,All 6 nozzles spray. Nearest nozzle is 132.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
22,6,,132.71,1.5,All 6 nozzles spray. Nearest nozzle is 132.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
23,6,,132.81,1.5,All 6 nozzles spray. Nearest nozzle is 132.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
24,6,,132.57,1.5,All 6 nozzles spray. Nearest nozzle is 132.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
25,6,,132.18,1.5,All 6 nozzles spray. Nearest nozzle is 132.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
26,6,,132.49,1.5,All 6 nozzles spray. Nearest nozzle is 132.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
27,6,,132.45,1.5,All 6 nozzles spray. Nearest nozzle is 132.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
28,6,,132.54,1.5,All 6 nozzles spray. Nearest nozzle is 132.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
29,6,,132.55,1.5,All 6 nozzles spray. Nearest nozzle is 132.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
30,6,,132.68,1.5,All 6 nozzles spray. Nearest nozzle is 132.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
31,6,,132.6,1.5,All 6 nozzles spray. Nearest nozzle is 132.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
32,6,,132.6,1.5,All 6 nozzles spray. Nearest nozzle is 132.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
33,6,,132.42,1.5,All 6 nozzles spray. Nearest nozzle is 132.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
34,6,,120.34,1.5,All 6 nozzles spray. Nearest nozzle is 120.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
35,6,,120.31,1.5,All 6 nozzles spray. Nearest nozzle is 120.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
36,6,,120.57,1.5,All 6 nozzles spray. Nearest nozzle is 120.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
37,6,,120.74,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
38,6,,120.8,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
39,6,,120.91,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
40,6,,120.85,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
41,6,,120.85,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
42,6,,120.78,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
43,6,,120.7,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
44,6,,120.81,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
45,6,,120.7,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
46,6,,120.67,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
47,6,,120.67,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
48,6,,120.8,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
49,6,,120.86,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
50,6,,120.9,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
51,6,,120.77,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
52,6,,120.95,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
53,6,,120.89,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
54,6,,120.8,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
55,6,,120.99,1.5,All 6 nozzles spray. Nearest nozzle is 121.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
56,6,,121.05,1.5,All 6 nozzles spray. Nearest nozzle is 121.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
57,6,,121.09,1.5,All 6 nozzles spray. Nearest nozzle is 121.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
58,6,,120.98,1.5,All 6 nozzles spray. Nearest nozzle is 121.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
59,6,,120.9,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
60,6,,120.72,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
61,6,,120.75,1.5,All 6 nozzles spray. Nearest nozzle is 120.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
62,6,,120.8,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
63,6,,120.76,1.5,All 6 nozzles spray. Nearest nozzle is 120.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
64,6,,120.88,1.5,All 6 nozzles spray. Nearest nozzle is 120.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
